ZIP code,Records
30505,1
30519,1
30614,1
30614,1
31008,1
31062,1
31074,1
31074,1
31074,1
31077,1
31400,1
31510,1
32000,1
32000,1
32000,1
32001,1
32306,1
32306,1
32306,1
32611,1
33014,1
33071,1
33100,1
33101,1
33199,1
33300,1
33458,1
33501,1
33501,1
33501,1
33501,1
33608,1
33945,1
34469,1
35042,1
35160,1
35294,1
35294,1
35294,1
35390,1
36310,1
36310,1
37225,1
37830,1
37830,1
37830,1
37830,1
37830,1
37830,1
37831,1
37831,1
37831,1
37996,1
38040,1
38040,1
38040,1
38040,1
38040,1
38040,1
38040,1
38070,1
38070,1
38100,1
38106,1
38333,1
39762,1
40002,1
40020,1
40032,1
40126,1
40225,1
40227,1
40227,1
40430,1
40450,1
40530,1
40530,1
40724,1
41000,1
41000,1
41000,1
41001,1
41001,1
41001,1
41001,1
41001,1
41001,1
41018,1
41043,1
41043,1
41092,1
41092,1
41314,1
41354,1
41354,1
41354,1
41354,1
41354,1
41354,1
41354,1
42023,1
43204,1
43204,1
43210,1
43210,1
43210,1
43210,1
43400,1
44026,1
44026,1
44026,1
44035,1
44036,1
44106,1
44115,1
44118,1
44300,1
44316,1
44316,1
44316,1
44316,1
44316,1
44316,1
44316,1
44316,1
44325,1
44961,1
45110,1
45267,1
45435,1
46003,1
46003,1
46003,1
46010,1
46010,1
46010,1
46010,1
46016,1
46022,1
46022,1
46022,1
46022,1
46022,1
46022,1
46022,1
46022,1
46071,1
46100,1
46150,1
46700,1
46805,1
47401,1
47401,1
47401,1
47402,1
47405,1
47405,1
47405,1
47405,1
47405,1
47405,1
47405,1
47405,1
47405,1
47405,1
47405,1
47405,1
47907,1
48109,1
48109,1
48109,1
48109,1
48109,1
48109,1
48859,1
48859,1
49931,1
50005,1
50005,1
50011,1
50014,1
50016,1
50137,1
50138,1
50190,1
50190,1
50190,1
50190,1
50603,1
50603,1
50603,1
50603,1
50643,1
50923,1
51013,1
51013,1
51664,1
52100,1
52242,1
52425,1
52425,1
52425,1
52900,1
52900,1
52900,1
52900,1
52900,1
52900,1
52900,1
52900,1
52900,1
52900,1
52900,1
53100,1
53100,1
53111,1
53113,1
53113,1
53175,1
53190,1
53201,1
53201,1
53201,1
53706,1
54006,1
54124,1
54286,1
54286,1
54506,1
54506,1
54514,1
54514,1
54514,1
54514,1
54514,1
54519,1
54561,1
54600,1
54700,1
55057,1
56100,1
56100,1
56124,1
56127,1
56127,1
57012,1
58108,1
58183,1
58183,1
58183,1
59655,1
60607,1
60612,1
60616,1
60616,1
60637,1
60637,1
60637,1
60637,1
60637,1
60661,1
61000,1
61801,1
61801,1
61801,1
61801,1
61801,1
61801,1
62000,1
62248,1
62248,1
62580,1
63117,1
63130,1
63130,1
64283,1
65016,1
65016,1
65649,1
65649,1
65649,1
65649,1
67000,1
67000,1
67000,1
67085,1
67346,1
68041,1
68182,1
68182,1
69120,1
69373,1
69623,1
69978,1
69978,1
70000,1
70101,1
70101,1
70101,1
70101,1
70101,1
70118,1
70174,1
70174,1
70185,1
70185,1
70211,1
70506,1
70569,1
70569,1
70569,1
70750,1
70803,1
70803,1
70803,1
70803,1
70803,1
70803,1
70803,1
70803,1
71104,1
71944,1
72074,1
73019,1
73019,1
73019,1
73019,1
73019,1
73072,1
75005,1
75005,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75006,1
75014,1
75015,1
75015,1
75016,1
75019,1
75020,1
75020,1
75020,1
75231,1
75236,1
75252,1
75272,1
75275,1
75310,1
75480,1
75592,1
75640,1
75700,1
75775,1
75775,1
75960,1
75960,1
76021,1
76100,1
76128,1
76128,1
76139,1
76139,1
76139,1
76139,1
76139,1
76139,1
76139,1
76139,1
76139,1
76139,1
76139,1
76204,1
76344,1
77207,1
77551,1
77551,1
77553,1
77553,1
77843,1
78041,1
78352,1
78352,1
78457,1
78712,1
78752,1
78752,1
78752,1
79011,1
79590,1
79590,1
80100,1
80293,1
80333,1
80335,1
80335,1
80335,1
80335,1
80335,1
80539,1
80539,1
80539,1
80539,1
80539,1
80801,1
80860,1
80910,1
81220,1
81220,1
82071,1
85212,1
85287,1
85287,1
85287,1
85478,1
85719,1
85719,1
85719,1
85719,1
85726,1
85726,1
85726,1
85726,1
85726,1
85726,1
85726,1
86135,1
86135,1
86159,1
86159,1
87100,1
87185,1
87185,1
87185,1
87545,1
89052,1
90014,1
90095,1
