Year,Sex,Name,Count
1996,Female,anise,5
1996,Female,anisha,72
1996,Female,anissa,264
1996,Female,anita,352
1996,Female,aniya,40
1996,Female,aniyah,21
1996,Female,anja,13
1996,Female,anjali,55
1996,Female,anjelica,153
1996,Female,ankita,12
1996,Female,ann,626
1996,Female,anna,8554
1996,Female,annabel,78
1996,Female,annabelle,163
1996,Female,annais,8
1996,Female,annalee,24
1996,Female,annaliese,16
1996,Female,annalisa,71
1996,Female,annalise,119
1996,Female,annamaria,30
1996,Female,annamarie,160
1996,Female,annastasia,15
1996,Female,anne,1296
1996,Female,anneke,5
1996,Female,annel,11
1996,Female,anneliese,56
1996,Female,annelise,76
1996,Female,annemarie,122
1996,Female,annessa,5
1996,Female,annette,232
1996,Female,annie,963
1996,Female,annika,287
1996,Female,annissa,12
1996,Female,annmarie,143
1996,Female,anny,6
1996,Female,anslee,9
1996,Female,ansleigh,5
1996,Female,ansley,177
1996,Female,anthony,42
1996,Female,antionette,25
1996,Female,antoinette,305
1996,Female,antonella,35
1996,Female,antonette,29
1996,Female,antonia,642
1996,Female,antonina,6
1996,Female,antonio,5
1996,Female,antonisha,6
1996,Female,anuhea,7
1996,Female,anum,10
1996,Female,anya,68
1996,Female,anyae,7
1996,Female,anyssa,50
1996,Female,aoife,6
1996,Female,aolani,6
1996,Female,april,1734
1996,Female,apryl,12
1996,Female,arabia,5
1996,Female,araceli,351
1996,Female,aracely,145
1996,Female,arantxa,15
1996,Female,aranza,5
1996,Female,araseli,30
1996,Female,arcelia,12
1996,Female,arden,26
1996,Female,areanna,7
1996,Female,areli,122
1996,Female,arelis,10
1996,Female,arely,126
1996,Female,argelia,14
1996,Female,aria,88
1996,Female,ariadna,16
1996,Female,ariadne,6
1996,Female,ariah,6
1996,Female,arial,10
1996,Female,arian,6
1996,Female,ariana,2019
1996,Female,ariane,36
1996,Female,arianna,1333
1996,Female,arianne,37
1996,Female,arica,13
1996,Female,arieanna,6
1996,Female,ariel,1896
1996,Female,ariela,19
1996,Female,ariella,76
1996,Female,arielle,561
1996,Female,aries,11
1996,Female,arika,5
1996,Female,arin,7
1996,Female,arisa,10
1996,Female,arisbeth,5
1996,Female,arissa,8
1996,Female,arizona,6
1996,Female,arjeta,5
1996,Female,arleen,20
1996,Female,arlen,8
1996,Female,arlena,5
1996,Female,arlene,259
1996,Female,arleth,13
1996,Female,arlette,19
1996,Female,arlin,5
1996,Female,arlyn,10
1996,Female,arlyne,5
1996,Female,armani,141
1996,Female,armida,13
1996,Female,arnelle,8
1996,Female,aroosa,5
1996,Female,arriana,12
1996,Female,arrianna,12
1996,Female,arshdeep,5
1996,Female,aryana,41
1996,Female,aryanna,24
1996,Female,aryn,39
1996,Female,asante,6
1996,Female,asha,183
1996,Female,ashante,61
1996,Female,ashanti,287
1996,Female,ashely,102
1996,Female,ashia,21
1996,Female,ashlan,20
1996,Female,ashland,5
1996,Female,ashle,5
1996,Female,ashlea,15
1996,Female,ashlee,1423
1996,Female,ashleen,6
1996,Female,ashlei,28
1996,Female,ashleigh,1151
1996,Female,ashlen,10
1996,Female,ashley,23676
1996,Female,ashleynicole,5
1996,Female,ashli,223
1996,Female,ashlie,268
1996,Female,ashlin,30
1996,Female,ashlon,5
1996,Female,ashly,217
1996,Female,ashlyn,1216
1996,Female,ashlyne,5
1996,Female,ashlynn,420
1996,Female,ashlynne,6
1996,Female,ashna,11
1996,Female,ashten,21
1996,Female,ashtin,15
1996,Female,ashton,881
1996,Female,ashtyn,86
1996,Female,asia,1426
1996,Female,asiah,16
1996,Female,asma,13
1996,Female,aspen,313
1996,Female,aspyn,5
1996,Female,assata,10
1996,Female,astrid,155
1996,Female,asusena,6
1996,Female,asya,24
1996,Female,atara,7
1996,Female,athena,273
1996,Female,athina,6
1996,Female,athziri,9
1996,Female,atiya,6
1996,Female,aubree,151
1996,Female,aubrey,1078
1996,Female,aubriana,9
1996,Female,aubrie,80
1996,Female,aubry,12
1996,Female,auburn,10
1996,Female,audra,161
1996,Female,audrey,1905
1996,Female,audriana,22
1996,Female,audrianna,37
1996,Female,audrie,17
1996,Female,audry,5
1996,Female,august,29
1996,Female,augusta,15
1996,Female,augustina,5
1996,Female,aujanae,6
1996,Female,aulani,5
1996,Female,aundrea,51
1996,Female,aungelique,5
1996,Female,aura,12
1996,Female,aurea,5
1996,Female,aurelia,36
1996,Female,aurora,290
1996,Female,austin,93
1996,Female,austyn,5
1996,Female,autum,58
1996,Female,autumn,3101
1996,Female,ava,230
1996,Female,avalon,24
1996,Female,averi,15
1996,Female,averie,7
1996,Female,avery,463
1996,Female,avigail,17
1996,Female,avital,12
1996,Female,aviva,19
1996,Female,awa,9
1996,Female,aya,27
1996,Female,ayah,28
1996,Female,ayana,204
1996,Female,ayanna,304
1996,Female,ayde,6
1996,Female,ayelet,12
1996,Female,ayesha,44
1996,Female,ayla,171
1996,Female,ayleen,18
1996,Female,aylin,109
1996,Female,aysha,43
1996,Female,aysia,23
1996,Female,azalea,16
1996,Female,azalia,8
1996,Female,azaria,23
1996,Female,azeneth,14
1996,Female,azia,11
1996,Female,aziza,8
1996,Female,azucena,57
1996,Female,azul,6
1996,Female,azusena,6
1996,Female,baby,172
1996,Female,babygirl,45
1996,Female,baila,22
1996,Female,bailee,477
1996,Female,baileigh,10
1996,Female,bailey,4184
1996,Female,bailie,55
1996,Female,baily,7
1996,Female,baleigh,20
1996,Female,baleria,5
1996,Female,banesa,17
1996,Female,bao,6
1996,Female,barbara,632
1996,Female,barbie,6
1996,Female,bari,7
1996,Female,basya,15
1996,Female,batoul,7
1996,Female,batsheva,19
1996,Female,batya,5
1996,Female,baylea,7
1996,Female,baylee,832
1996,Female,bayleigh,36
1996,Female,bayley,21
1996,Female,bayli,32
1996,Female,baylie,55
1996,Female,beatrice,170
1996,Female,beatris,14
1996,Female,beatriz,332
1996,Female,becca,64
1996,Female,becky,55
1996,Female,belen,137
1996,Female,belinda,143
1996,Female,bella,55
1996,Female,belle,22
1996,Female,benita,18
1996,Female,berenice,246
1996,Female,berenis,6
1996,Female,berenise,18
1996,Female,berkley,12
1996,Female,berlin,11
1996,Female,berlyn,6
1996,Female,bernadette,129
1996,Female,bernice,67
1996,Female,beronica,7
1996,Female,bertha,89
1996,Female,bessy,5
1996,Female,beth,189
1996,Female,bethani,6
1996,Female,bethanie,70
1996,Female,bethany,2692
1996,Female,bethlehem,5
1996,Female,betsabe,13
1996,Female,betsy,100
1996,Female,bettina,5
1996,Female,betty,156
1996,Female,beverly,220
1996,Female,bianca,2508
1996,Female,bianey,14
1996,Female,bianka,52
1996,Female,bibi,12
1996,Female,bibiana,39
1996,Female,billie,147
1996,Female,binta,6
1996,Female,biridiana,25
